CID,BDATE,GEN
NASAW00012615,1985-08-16,Male
NASAW00012616,1980-10-08,Female
NASAW00012617,1975-04-04,Male
NASAW00012618,1974-12-21,Female
NASAW00012619,1975-02-04,Female
NASAW00012620,1974-10-15,Male
NASAW00012621,1980-12-08,Male
NASAW00012622,1974-10-08,Male
NASAW00012623,1958-01-15,Male
NASAW00012624,1958-04-01,Female
NASAW00012625,1957-12-24,Female
NASAW00012626,1956-10-30,Female
NASAW00012627,1978-12-31,Female
NASAW00012628,1979-11-01,Male
NASAW00012629,1979-12-23,Male
NASAW00012630,1960-03-21,Male
NASAW00012631,1949-11-14,Male
NASAW00012632,1961-02-11,Female
NASAW00012633,1950-08-09,Male
NASAW00012634,1951-03-13,Male
NASAW00012635,1957-09-21,Male
NASAW00012636,1952-01-31,Female
NASAW00012637,1951-08-30,Male
NASAW00012638,1964-12-30,Male
NASAW00012639,1959-01-09,Male
NASAW00012640,1964-11-18,Male
NASAW00012641,1959-09-02,Male
NASAW00012642,1965-04-09,Male
NASAW00012643,1959-01-21,Female
NASAW00012644,1958-12-01,Female
NASAW00012645,1964-05-03,Female
NASAW00012646,1958-01-08,Male
NASAW00012647,1963-09-23,Female
NASAW00012648,1957-09-07,Female
NASAW00012649,1957-06-08,Male
NASAW00012650,1955-09-03,Male
NASAW00012651,1955-12-14,Male
NASAW00012652,1956-02-06,Female
NASAW00012653,1955-07-25,Female
NASAW00012654,1956-05-26,Female
NASAW00012655,1954-08-20,Male
NASAW00012656,1960-09-01,Male
NASAW00012657,1954-12-04,Female
NASAW00012658,1960-01-08,Female
NASAW00012659,1953-09-14,Male
NASAW00012660,1953-04-17,Female
NASAW00012661,1953-02-18,Female
NASAW00012662,1952-11-21,Male
NASAW00012663,1952-12-21,Female
NASAW00012664,1952-07-02,Female
NASAW00012665,1981-04-03,Female
NASAW00012666,1981-02-16,Male
NASAW00012667,1982-05-22,Female
NASAW00012668,1981-10-24,Female
NASAW00012669,1981-09-01,Male
NASAW00012670,1981-01-17,Female
NASAW00012671,1979-08-11,Male
NASAW00012672,1981-05-06,Male
NASAW00012673,1981-02-24,Male
NASAW00012674,1981-01-23,Male
NASAW00012675,1984-10-01,Female
NASAW00012676,1979-12-26,Female
NASAW00012677,1980-05-04,Male
NASAW00012678,1980-04-08,Female
NASAW00012679,1979-05-10,Female
NASAW00012680,1977-12-30,Male
NASAW00012681,1977-09-05,Female
NASAW00012682,1978-12-12,Female
NASAW00012683,1978-08-01,Female
NASAW00012684,1978-11-20,Male
NASAW00012685,1977-09-19,Female
NASAW00012686,1978-04-17,Female
NASAW00012687,1977-10-18,Male
NASAW00012688,1978-02-01,Female
NASAW00012689,1978-04-04,Female
NASAW00012690,1978-03-12,Male
NASAW00012691,1977-08-08,Male
NASAW00012692,1977-01-22,Male
NASAW00012693,1976-07-08,Female
NASAW00012694,1983-01-07,Male
NASAW00012695,1976-08-01,Female
NASAW00012696,1982-03-13,Female
NASAW00012697,1975-12-22,Female
NASAW00012698,1981-05-10,Male
NASAW00012699,1975-09-15,Female
NASAW00012700,1976-09-16,Female
NASAW00012701,1982-10-14,Male
NASAW00012702,1977-03-06,Female
NASAW00012703,1976-12-17,Female
NASAW00012704,1976-10-13,Female
NASAW00012705,1980-08-06,Male
NASAW00012706,1980-01-10,Male
NASAW00012707,1947-03-28,Male
NASAW00012708,1952-04-21,Female
NASAW00012709,1946-07-14,Male
NASAW00012710,1946-12-17,Male
NASAW00012711,1978-10-18,Female
NASAW00012712,1979-02-14,Male
NASAW00012713,1978-12-07,Female
NASAW00012714,1979-01-14,Female
NASAW00012715,1969-01-14,Male
NASAW00012716,1979-09-13,Male
NASAW00012717,1979-12-05,Female
NASAW00012718,1980-05-13,Female
NASAW00012719,1985-11-30,Female
NASAW00012720,1980-05-01,Male
NASAW00012721,1979-07-14,Female
NASAW00012722,1985-08-11,Female
NASAW00012723,1986-05-13,Male
NASAW00012724,1985-07-23,Male
NASAW00012725,1916-02-10,Female
NASAW00012726,1985-08-18,Male
NASAW00012727,1985-10-10,Female
NASAW00012728,1984-12-23,Male
NASAW00012729,1984-11-12,Male
NASAW00012730,1984-04-14,Female
NASAW00012731,1984-09-10,Male
NASAW00012732,1977-08-20,Male
NASAW00012733,1977-08-26,Female
NASAW00012734,1978-04-02,Female
NASAW00012735,1983-10-16,Male
NASAW00012736,1978-01-23,Female
NASAW00012737,1978-07-19,Male
NASAW00012738,1978-12-14,Female
NASAW00012739,1979-06-11,Male
NASAW00012740,1978-05-27,Female
NASAW00012741,1977-08-02,Male
NASAW00012742,1978-05-22,Female
NASAW00012743,1978-06-18,Male
NASAW00012744,1978-05-27,Female
NASAW00012745,1977-12-11,Male
NASAW00012746,1976-10-15,Male
NASAW00012747,1982-10-29,Female
NASAW00012748,1977-02-07,Female
NASAW00012749,1976-08-29,Male
NASAW00012750,1976-02-08,Female
NASAW00012751,1976-06-10,Female
NASAW00012752,1976-05-17,Male
NASAW00012753,1976-11-16,Male
NASAW00012754,1981-06-16,Female
NASAW00012755,1981-03-31,Female
NASAW00012756,1980-12-23,Male
NASAW00012757,1980-06-18,Female
NASAW00012758,1935-07-11,Female
NASAW00012759,1937-01-10,Female
NASAW00012760,1971-07-26,Female
NASAW00012761,1971-09-01,Female
NASAW00012762,1964-12-16,Male
NASAW00012763,1969-08-01,Female
NASAW00012764,1964-08-13,Female
NASAW00012765,1959-11-17,Female
NASAW00012766,1971-02-08,Female
NASAW00012767,1960-05-02,Male
NASAW00012768,1959-11-23,Male
NASAW00012769,1960-09-17,Male
NASAW00012770,1966-09-19,Male
NASAW00012771,1966-10-18,Female
NASAW00012772,1960-10-22,Female
NASAW00012773,1961-05-08,Female
NASAW00012774,1971-09-18,Female
NASAW00012775,1972-03-03,Male
NASAW00012776,1960-07-17,Male
NASAW00012777,1961-11-19,Male
NASAW00012778,1961-10-06,Female
NASAW00012779,1962-01-31,Male
NASAW00012780,1967-03-19,Male
NASAW00012781,1961-12-26,Female
NASAW00012782,1978-03-12,Female
NASAW00012783,1961-10-06,Male
NASAW00012784,1961-09-04,Male
NASAW00012785,1967-03-19,Male
NASAW00012786,1961-08-31,Male
NASAW00012787,1967-10-18,Female
NASAW00012788,1962-12-26,Female
NASAW00012789,1962-10-22,Female
NASAW00012790,1964-04-03,Male
NASAW00012791,1975-03-23,Female
NASAW00012792,1963-09-18,Male
NASAW00012793,1969-04-13,Male
NASAW00012794,1965-04-06,Female
NASAW00012795,1964-10-09,Male
NASAW00012796,1964-09-04,Male
NASAW00012797,1965-02-19,Male
NASAW00012798,1973-07-13,Male
NASAW00012799,1984-12-09,Male
NASAW00012800,1973-09-18,Female
NASAW00012801,1973-07-04,Female
NASAW00012802,1973-10-16,Male
NASAW00012803,1973-09-15,Female
NASAW00012804,1973-12-02,Female
NASAW00012805,1973-12-11,Male
NASAW00012806,1973-09-15,Male
NASAW00012807,1974-02-01,Female
NASAW00012808,1973-11-08,Male
NASAW00012809,1973-03-21,Female
NASAW00012810,1932-01-25,Male
NASAW00012811,1978-04-16,Male
NASAW00012812,1973-02-17,Female
NASAW00012813,1973-05-07,Male
NASAW00012814,1983-10-04,Female
NASAW00012815,1972-12-23,Female
NASAW00012816,1977-06-20,Female
NASAW00012817,1971-08-09,Male
NASAW00012818,1971-08-18,Male
NASAW00012819,1977-04-19,Male
NASAW00012820,1971-08-09,Male
NASAW00012821,1978-06-11,Male
NASAW00012822,1978-05-20,Female
NASAW00012823,1933-05-16,Female
NASAW00012824,1971-11-03,Male
NASAW00012825,1971-07-20,Male
NASAW00012826,1971-01-04,Male
NASAW00012827,1971-01-12,Male
NASAW00012828,1975-06-01,Female
NASAW00012829,1970-01-11,Male
NASAW00012830,1970-06-23,Male
NASAW00012831,1975-01-12,Female
NASAW00012832,1969-10-19,Male
NASAW00012833,1975-01-13,Female
NASAW00012834,1975-03-10,Female
NASAW00012835,1969-03-21,Male
NASAW00012836,1968-08-30,Male
NASAW00012837,1939-03-27,Female
NASAW00012838,1971-11-08,Male
NASAW00012839,1971-12-16,Female
NASAW00012840,1945-08-08,Female
NASAW00012841,1976-08-20,Female
NASAW00012842,1981-08-30,Male
NASAW00012843,1971-01-30,Female
NASAW00012844,1970-09-25,Male
NASAW00012845,1976-11-24,Female
NASAW00012846,1970-01-03,Female
NASAW00012847,1970-01-14,Male
NASAW00012848,1970-05-02,Female
NASAW00012849,1974-02-22,Male
NASAW00012850,1982-12-04,Male
NASAW00012851,1985-03-25,Female
NASAW00012852,1984-08-03,Female
NASAW00012853,1969-02-21,Female
NASAW00012854,1968-11-19,Male
NASAW00012855,1968-08-02,Male
NASAW00012856,1979-10-01,Female
NASAW00012857,1969-02-13,Male
NASAW00012858,1967-10-19,Female
NASAW00012859,1968-02-14,Female
NASAW00012860,1973-03-21,Female
NASAW00012861,1973-03-21,Female
NASAW00012862,1983-08-11,Female
NASAW00012863,1984-02-22,Male
NASAW00012864,1983-10-31,Female
NASAW00012865,1981-09-21,Female
NASAW00012866,1980-12-15,Female
NASAW00012867,1981-01-16,Female
NASAW00012868,1980-11-09,Female
NASAW00012869,1981-09-22,Female
NASAW00012870,1982-03-19,Male
NASAW00012871,1982-04-05,Female
NASAW00012872,1980-11-07,Female
NASAW00012873,1980-03-17,Female
NASAW00012874,1980-03-04,Female
NASAW00012875,1964-11-11,Female
NASAW00012876,1965-01-18,Male
NASAW00012877,1964-11-01,Male
NASAW00012878,1978-03-14,Male
NASAW00012879,1983-07-13,Male
NASAW00012880,1979-03-11,Male
NASAW00012881,1979-05-14,Female
NASAW00012882,1978-09-24,Male
NASAW00012883,1977-05-05,Female
NASAW00012884,1976-11-08,Female
NASAW00012885,1982-08-11,Male
NASAW00012886,1982-10-30,Female
NASAW00012887,1976-08-12,Male
NASAW00012888,1982-10-05,Female
NASAW00012889,1977-05-26,Male
NASAW00012890,1977-01-15,Male
NASAW00012891,1976-10-13,Female
NASAW00012892,1977-10-08,Male
NASAW00012893,1977-10-02,Female
NASAW00012894,1978-02-04,Female
NASAW00012895,1975-10-04,Female
NASAW00012896,1981-07-12,Female
NASAW00012897,1975-07-06,Female
NASAW00012898,1976-03-08,Female
NASAW00012899,1976-01-08,Female
NASAW00012900,1975-12-03,Male
NASAW00012901,1974-08-12,Male
NASAW00012902,1974-10-20,Female
NASAW00012903,1980-09-28,Female
NASAW00012904,1980-02-16,Male
NASAW00012905,1975-03-10,Female
NASAW00012906,1977-02-15,Male
NASAW00012907,1977-05-22,Female
NASAW00012908,1976-09-08,Male
NASAW00012909,1982-05-21,Female
NASAW00012910,1976-08-04,Male
NASAW00012911,1986-04-21,Male
NASAW00012912,1973-09-22,Female
NASAW00012913,1979-02-19,Male
NASAW00012914,1983-10-05,Female
NASAW00012915,1972-09-16,Female
NASAW00012916,1981-05-19,Female
NASAW00012917,1975-08-30,Female
NASAW00012918,1981-02-09,Female
NASAW00012919,1973-01-06,Male
NASAW00012920,1973-03-12,Female
NASAW00012921,1971-12-31,Male
NASAW00012922,1982-09-09,Female
NASAW00012923,1972-02-18,Male
NASAW00012924,1972-04-07,Male
NASAW00012925,1977-08-09,Female
NASAW00012926,1972-01-15,Female
NASAW00012927,1971-12-11,Female
NASAW00012928,1975-05-10,Female
NASAW00012929,1974-09-02,Female
NASAW00012930,1974-11-13,Female
NASAW00012931,1975-04-04,Female
NASAW00012932,1975-05-10,Male
NASAW00012933,1980-02-07,Male
NASAW00012934,1980-11-08,Male
NASAW00012935,1980-04-30,Male
NASAW00012936,1970-09-24,Female
NASAW00012937,1976-01-01,Female
NASAW00012938,1970-08-08,Male
NASAW00012939,1970-09-30,Male
NASAW00012940,1970-09-21,Male
NASAW00012941,1976-05-06,Female
NASAW00012942,1976-11-11,Female
NASAW00012943,1970-08-17,Male
NASAW00012944,1971-01-18,Male
NASAW00012945,1970-09-21,Female
NASAW00012946,1971-06-03,Male
NASAW00012947,1969-08-16,Male
NASAW00012948,1975-09-29,Male
NASAW00012949,1970-06-18,Female
NASAW00012950,1970-04-14,Female
NASAW00012951,1974-12-02,Male
NASAW00012952,1979-12-12,Female
NASAW00012953,1969-05-11,Female
NASAW00012954,1968-02-19,Male
NASAW00012955,1968-03-09,Female
NASAW00012956,1973-03-07,Male
NASAW00012957,1968-02-23,Female
NASAW00012958,1968-01-24,Female
NASAW00012959,1973-05-20,Female
NASAW00012960,1973-11-08,Female
NASAW00012961,1973-05-11,Female
NASAW00012962,1973-04-18,Female
NASAW00012963,1979-04-20,Male
NASAW00012964,1973-05-10,Male
NASAW00012965,1967-03-19,Male
NASAW00012966,1966-09-06,Male
NASAW00012967,1966-10-08,Male
NASAW00012968,1978-06-14,Female
NASAW00012969,1965-11-30,Male
NASAW00012970,1966-01-14,Female
NASAW00012971,1965-08-30,Male
NASAW00012972,1978-06-18,Female
NASAW00012973,1978-03-08,Male
NASAW00012974,1972-08-27,Male
NASAW00012975,1972-10-15,Male
NASAW00012976,1972-12-18,Male
NASAW00012977,1978-02-19,Female
NASAW00012978,1934-05-15,Female
NASAW00012979,1966-02-16,Female
NASAW00012980,1965-02-10,Male
NASAW00012981,1964-10-13,Male
NASAW00012982,1974-11-13,Female
NASAW00012983,1969-12-17,Female
NASAW00012984,1963-08-06,Male
NASAW00012985,1963-11-08,Female
NASAW00012986,1964-03-06,Female
NASAW00012987,1980-05-08,Female
NASAW00012988,1980-01-23,Female
NASAW00012989,1975-05-13,Female
NASAW00012990,1975-04-14,Female
NASAW00012991,1979-03-09,Male
NASAW00012992,1979-10-18,Male
NASAW00012993,1979-12-23,Male
NASAW00012994,1975-10-07,Female
NASAW00012995,1976-03-01,Male
NASAW00012996,1975-11-10,Female
NASAW00012997,1973-11-08,Female
NASAW00012998,1979-01-07,Female
NASAW00012999,1972-12-17,Female
NASAW00013000,1980-09-16,Male
NASAW00013001,1975-03-06,Male
NASAW00013002,1973-02-18,Male
NASAW00013003,1978-01-16,Female
NASAW00013004,1972-10-31,Male
NASAW00013005,1972-02-12,Female
NASAW00013006,1971-10-19,Female
NASAW00013007,1971-04-04,Female
NASAW00013008,1976-07-05,Male
NASAW00013009,1970-09-08,Female
NASAW00013010,1976-08-12,Female
NASAW00013011,1970-11-01,Female
NASAW00013012,1971-03-24,Female
NASAW00013013,1970-05-08,Male
NASAW00013014,1985-01-06,Male
NASAW00013015,1974-01-08,Female
NASAW00013016,1974-01-01,Male
NASAW00013017,1984-08-15,Male
NASAW00013018,1950-04-10,Male
NASAW00013019,1984-08-28,Female
NASAW00013020,1950-11-07,Male
NASAW00013021,1952-01-06,Female
NASAW00013022,1953-02-20,Male
NASAW00013023,1952-08-26,Female
NASAW00013024,1952-09-05,Male
NASAW00013025,1953-05-18,Male
NASAW00013026,1964-10-09,Female
NASAW00013027,1983-06-10,Male
NASAW00013028,1983-03-17,Male
NASAW00013029,1983-03-05,Female
NASAW00013030,1983-01-10,Female
NASAW00013031,1982-08-16,Male
NASAW00013032,1982-10-07,Male
NASAW00013033,1982-05-20,Male
NASAW00013034,1954-08-27,Female
NASAW00013035,1956-05-02,Female
NASAW00013036,1955-08-03,Female
NASAW00013037,1961-04-22,Male
NASAW00013038,1961-01-28,Male
NASAW00013039,1986-02-17,Female
NASAW00013040,1973-09-12,Male
NASAW00013041,1957-05-04,Male
NASAW00013042,1957-03-20,Female
NASAW00013043,1957-10-23,Female
NASAW00013044,1957-07-22,Female
NASAW00013045,1969-05-09,Female
NASAW00013046,1958-04-04,Male
NASAW00013047,1963-08-30,Male
NASAW00013048,1957-12-24,Female
NASAW00013049,1959-01-03,Female
NASAW00013050,1959-06-18,Male
NASAW00013051,1960-05-26,Male
NASAW00013052,9999-05-10,Male
NASAW00013053,1980-11-12,Male
NASAW00013054,1981-03-16,Male
NASAW00013055,1981-04-17,Male
NASAW00013056,1981-03-22,Female
NASAW00013057,1980-12-18,Female
NASAW00013058,1981-02-12,Male
NASAW00013059,1980-08-14,Male
NASAW00013060,1986-06-05,Male
NASAW00013061,1979-11-29,Male
NASAW00013062,1980-01-06,Male
NASAW00013063,1985-03-10,Female
NASAW00013064,1985-03-13,Male
NASAW00013065,1979-10-19,Female
NASAW00013066,1980-03-24,Male
NASAW00013067,1980-05-24,Female
NASAW00013068,1985-02-14,Female
NASAW00013069,1980-02-16,Male
NASAW00013070,1979-04-17,Female
NASAW00013071,1978-11-08,Male
NASAW00013072,1984-10-29,Female
NASAW00013073,1981-07-11,Female
NASAW00013074,1982-03-12,Female
NASAW00013075,1960-10-08,Male
NASAW00013076,1960-08-30,Male
NASAW00013077,1967-05-21,Male
NASAW00013078,1961-07-21,Female
NASAW00013079,1962-08-26,Male
NASAW00013080,1968-05-14,Female
NASAW00013081,1962-09-21,Female
NASAW00013082,1963-08-24,Male
NASAW00013083,1978-08-26,Female
NASAW00013084,1980-04-12,Male
NASAW00013085,1979-09-16,Male
NASAW00013086,1979-11-17,Male
NASAW00013087,1980-05-07,Male
NASAW00013088,1979-08-23,Female
NASAW00013089,1965-02-28,Female
NASAW00013090,1964-11-28,Male
NASAW00013091,1970-08-07,Female
NASAW00013092,1977-10-31,Male
NASAW00013093,1963-04-14,Female
NASAW00013094,1968-03-19,Male
NASAW00013095,1963-01-21,Male
NASAW00013096,1963-04-19,Male
NASAW00013097,1968-05-10,Male
NASAW00013098,1963-04-06,Male
NASAW00013099,1963-02-01,Male
NASAW00013100,1968-07-12,Male
NASAW00013101,1963-04-06,Male
NASAW00013102,1963-03-19,Female
NASAW00013103,1969-01-29,Male
NASAW00013104,1974-04-08,Male
NASAW00013105,1967-12-30,Female
NASAW00013106,1973-07-04,Female
NASAW00013107,1968-01-08,Female
NASAW00013108,1968-06-24,Male
NASAW00013109,1973-08-08,Female
NASAW00013110,1972-12-08,Male
NASAW00013111,1967-02-13,Female
NASAW00013112,1978-01-16,Female
NASAW00013113,1972-01-11,Male
NASAW00013114,1971-10-29,Female
NASAW00013115,1983-03-23,Male
NASAW00013116,1971-11-05,Male
NASAW00013117,1971-07-11,Female
NASAW00013118,1966-01-05,Female
NASAW00013119,1971-05-10,Female
NASAW00013120,1976-07-05,Male
NASAW00013121,1976-03-18,Female
NASAW00013122,1971-01-30,Female
NASAW00013123,1975-05-01,Female
NASAW00013124,1969-08-29,Male
NASAW00013125,1975-07-05,Male
NASAW00013126,1969-08-03,Female
NASAW00013127,1970-06-09,Male
NASAW00013128,1975-04-20,Female
NASAW00013129,1969-11-29,Female
NASAW00013130,1970-10-22,Male
NASAW00013131,1965-02-28,Female
NASAW00013132,1964-08-20,Male
NASAW00013133,1965-02-15,Male
NASAW00013134,1939-10-29,Female
NASAW00013135,1963-01-31,Male
NASAW00013136,1942-05-12,Female
NASAW00013137,1965-08-08,Female
NASAW00013138,1965-12-09,Female
NASAW00013139,1967-02-05,Female
NASAW00013140,1958-10-08,Female
NASAW00013141,1959-04-07,Male
NASAW00013142,1980-09-19,Male
NASAW00013143,1980-08-05,Female
NASAW00013144,1982-02-24,Female
NASAW00013145,1981-07-21,Male
NASAW00013146,1981-11-12,Female
NASAW00013147,1986-02-20,Male
NASAW00013148,1985-09-29,Male
NASAW00013149,1957-02-14,Female
NASAW00013150,1942-12-08,Female
NASAW00013151,1984-06-04,Male
NASAW00013152,1983-08-16,Female
NASAW00013153,1985-04-16,Male
NASAW00013154,1985-01-18,Male
NASAW00013155,1950-04-07,Male
NASAW00013156,1951-07-03,Male
NASAW00013157,1945-08-22,Female
NASAW00013158,1946-09-11,Female
NASAW00013159,1947-04-13,Male
NASAW00013160,1948-08-06,Male
NASAW00013161,1981-10-22,Male
NASAW00013162,1981-10-20,Female
NASAW00013163,1981-09-06,Male
NASAW00013164,1981-11-01,Female
NASAW00013165,1982-03-21,Male
NASAW00013166,1981-09-10,Male
NASAW00013167,1980-01-01,Male
NASAW00013168,1979-09-16,Female
NASAW00013169,1977-08-31,Male
NASAW00013170,1977-07-07,Male
NASAW00013171,1973-12-06,Female
NASAW00013172,1974-03-18,Female
NASAW00013173,1974-03-14,Male
NASAW00013174,1973-11-01,Female
NASAW00013175,1973-08-09,Male
NASAW00013176,1973-02-28,Male
NASAW00013177,1968-08-26,Female
NASAW00013178,1968-10-15,Female
NASAW00013179,1947-12-17,Male
NASAW00013180,1947-08-22,Female
NASAW00013181,1948-06-21,Male
NASAW00013182,1953-11-14,Male
NASAW00013183,1948-01-18,Male
NASAW00013184,1953-08-23,Male
NASAW00013185,1948-06-26,Male
NASAW00013186,1948-05-23,Male
NASAW00013187,1948-02-14,Male
NASAW00013188,1947-07-20,Male
NASAW00013189,1953-03-31,Female
NASAW00013190,1947-08-09,Male
NASAW00013191,1954-07-14,Female
NASAW00013192,1948-09-12,Male
NASAW00013193,1948-11-05,Male
NASAW00013194,1949-02-23,Male
NASAW00013195,1960-05-23,Male
NASAW00013196,1954-10-29,Female
NASAW00013197,1949-06-25,Female
NASAW00013198,1949-04-14,Female
NASAW00013199,1948-12-22,Male
NASAW00013200,1949-01-06,Female
NASAW00013201,1950-02-20,Male
NASAW00013202,1949-10-17,Female
NASAW00013203,1949-10-10,Female
NASAW00013204,1955-08-04,Female
NASAW00013205,1950-02-06,Male
NASAW00013206,1956-06-18,Female
NASAW00013207,1956-10-07,Male
NASAW00013208,1951-04-01,Female
NASAW00013209,1951-01-14,Female
NASAW00013210,1950-11-24,Male
NASAW00013211,1951-06-11,Male
NASAW00013212,1951-02-07,Male
NASAW00013213,1951-08-30,Female
NASAW00013214,1952-06-19,Male
NASAW00013215,1951-10-29,Female
NASAW00013216,1952-03-14,Female
NASAW00013217,1957-04-22,Male
NASAW00013218,1951-07-28,Female
NASAW00013219,1951-08-22,Male
NASAW00013220,1952-01-25,Female
NASAW00013221,1952-06-04,Female
NASAW00013222,1951-08-30,Male
NASAW00013223,1952-01-06,Male
NASAW00013224,1951-08-11,Female
NASAW00013225,1952-12-19,Male
NASAW00013226,1952-09-09,Female
NASAW00013227,1952-11-21,Male
NASAW00013228,1952-10-28,Male
NASAW00013229,1953-02-02,Male
NASAW00013230,1952-09-07,Female
NASAW00013231,1954-04-10,Female
NASAW00013232,1954-04-19,Female
NASAW00013233,1954-06-04,Male
NASAW00013234,1959-08-19,Male
NASAW00013235,1954-03-22,Male
NASAW00013236,1953-11-22,Male
NASAW00013237,1953-10-20,Male
NASAW00013238,1954-04-25,Male
NASAW00013239,1960-04-11,Male
NASAW00013240,1960-11-05,Male
NASAW00013241,1961-01-01,Female
NASAW00013242,1961-05-05,Male
NASAW00013243,1957-05-12,Female
NASAW00013244,1957-04-20,Male
NASAW00013245,1956-12-21,Male
NASAW00013246,1957-07-25,Female
NASAW00013247,1963-05-11,Male
NASAW00013248,1957-09-03,Female
NASAW00013249,1958-01-18,Male
NASAW00013250,1963-02-19,Female
NASAW00013251,1974-08-12,Male
NASAW00013252,1963-12-31,Female
NASAW00013253,1974-11-13,Female
NASAW00013254,1963-07-23,Female
NASAW00013255,1962-09-23,Male
NASAW00013256,1963-05-13,Female
NASAW00013257,1963-01-03,Male
NASAW00013258,1962-08-31,Female
NASAW00013259,1963-05-07,Male
NASAW00013260,1963-04-08,Male
NASAW00013261,1962-10-03,Female
NASAW00013262,1963-04-20,Male
NASAW00013263,1961-10-22,Female
NASAW00013264,1961-11-20,Female
NASAW00013265,1961-07-21,Male
NASAW00013266,1962-01-11,Male
NASAW00013267,1937-09-02,Male
NASAW00013268,1938-01-21,Female
NASAW00013269,1937-09-05,Female
NASAW00013270,1939-04-26,Male
NASAW00013271,1939-06-19,Male
NASAW00013272,1938-10-12,Female
NASAW00013273,1938-08-01,Female
NASAW00013274,1970-10-01,Male
NASAW00013275,1971-02-24,Male
NASAW00013276,1976-03-16,Female
NASAW00013277,1971-02-22,Male
NASAW00013278,1971-05-09,Male
NASAW00013279,1971-05-02,Female
NASAW00013280,1981-02-12,Female
NASAW00013281,1975-05-14,Male
NASAW00013282,1980-12-08,Female
NASAW00013283,1962-06-19,Male
NASAW00013284,1962-02-07,Female
NASAW00013285,1968-12-07,Female
NASAW00013286,1974-10-06,Female
NASAW00013287,1969-03-02,Male
NASAW00013288,1980-03-15,Male
NASAW00013289,1978-08-22,Female
NASAW00013290,1967-12-30,Male
NASAW00013291,1967-08-25,Female
NASAW00013292,1973-08-08,Female
NASAW00013293,1968-01-10,Female
NASAW00013294,1966-12-09,Female
NASAW00013295,1972-10-19,Female
NASAW00013296,1966-11-18,Male
NASAW00013297,1966-12-20,Male
NASAW00013298,1972-07-23,Female
NASAW00013299,1967-04-14,Female
NASAW00013300,1966-09-03,Male
NASAW00013301,1966-01-30,Female
NASAW00013302,1961-02-14,Male
NASAW00013303,1966-09-30,Male
NASAW00013304,1961-06-24,Female
NASAW00013305,1971-09-18,Male
NASAW00013306,1961-05-27,Female
NASAW00013307,1940-11-09,Female
NASAW00013308,1941-09-15,Female
NASAW00013309,1947-05-18,Female
NASAW00013310,1966-05-18,Male
NASAW00013311,1965-09-23,Female
NASAW00013312,1965-11-17,Female
NASAW00013313,1971-09-07,Female
NASAW00013314,1966-01-31,Male
NASAW00013315,1959-10-01,Male
NASAW00013316,1959-10-15,Male
NASAW00013317,1960-03-08,Male
NASAW00013318,1959-08-25,Female
NASAW00013319,1959-08-30,Male
NASAW00013320,1958-11-15,Female
NASAW00013321,1959-04-18,Female
NASAW00013322,1958-11-19,Female
NASAW00013323,1958-09-19,Male
NASAW00013324,1943-03-20,Female
NASAW00013325,1943-07-04,Male
NASAW00013326,1944-02-13,Male
NASAW00013327,1944-01-08,Female
NASAW00013328,1945-01-13,Male
NASAW00013329,1944-09-01,Male
NASAW00013330,1945-05-01,Female
NASAW00013331,1945-05-21,Female
NASAW00013332,1946-04-02,Male
NASAW00013333,1945-08-12,Female
NASAW00013334,1945-10-18,Female
NASAW00013335,1951-02-17,Female
NASAW00013336,1946-04-20,Female
NASAW00013337,1953-05-05,Female
NASAW00013338,1953-08-08,Female
NASAW00013339,1947-07-19,Female
NASAW00013340,1947-10-31,Female
NASAW00013341,1948-03-14,Male
NASAW00013342,1947-12-15,Male
NASAW00013343,1953-09-21,Female
NASAW00013344,1948-03-10,Female
NASAW00013345,1947-08-30,Male
NASAW00013346,1948-11-22,Male
NASAW00013347,1948-07-01,Female
NASAW00013348,1948-08-18,Male
NASAW00013349,1949-04-04,Female
NASAW00013350,1949-03-02,Male
NASAW00013351,1949-10-25,Female
NASAW00013352,1955-03-03,Male
NASAW00013353,1955-09-22,Female
NASAW00013354,1955-11-08,Male
NASAW00013355,1950-03-24,Male
NASAW00013356,1950-11-04,Female
NASAW00013357,1951-03-27,Male
NASAW00013358,1950-12-13,Female
NASAW00013359,1951-03-02,Male
NASAW00013360,1951-07-03,Female
NASAW00013361,1952-02-29,Male
NASAW00013362,1962-08-08,Female
NASAW00013363,1951-12-14,Female
NASAW00013364,1952-04-01,Female
NASAW00013365,1957-09-21,Male
NASAW00013366,1957-05-06,Male
NASAW00013367,1952-10-11,Female
NASAW00013368,1969-12-18,Male
NASAW00013369,1953-02-13,Female
NASAW00013370,1959-03-19,Male
NASAW00013371,1959-11-17,Female
NASAW00013372,1954-05-28,Male
NASAW00013373,1953-09-01,Female
NASAW00013374,1959-05-17,Male
NASAW00013375,1953-10-09,Male
NASAW00013376,1959-08-31,Male
NASAW00013377,1953-09-13,Male
NASAW00013378,1959-09-14,Female
NASAW00013379,1954-11-11,Female
NASAW00013380,1955-04-24,Female
NASAW00013381,1960-03-18,Female
NASAW00013382,1960-02-01,Male
NASAW00013383,1961-09-29,Female
NASAW00013384,1956-04-23,Male
NASAW00013385,1956-05-26,Female
NASAW00013386,1955-07-26,Male
NASAW00013387,1955-09-18,Female
NASAW00013388,1955-12-11,Male
NASAW00013389,1956-05-19,Female
NASAW00013390,1955-11-23,Female
NASAW00013391,1956-08-26,Female
